nest,site,year,id,FF_date,FirstFound,Est_Age,Confidence,LastPresent,LastChecked,Unk_Period,Fail_Adj,Fate,MaxExposure,LikExposure,Age_Adj,StartAge,EndAge,UTM_zone,UTM_easting,UTM_northing,eggs,nestlings,fledged,height,mite_mid,mite_late,Freq,
123,BYRD,2019,123-BYRD-2019,5/20/2019,140,5,Moderate,154,158,4,3,1,18,16,135,5,21,16T,405233,4424798,4,3,0,NA,0,NA,1,
124,BYRD,2019,124-BYRD-2019,5/14/2019,134,3,Low,140,140,0,0,0,6,6,131,3,9,16T,405236,4424758,5,5,5,83,0,NA,1,
125,BYRD,2019,125-BYRD-2019,5/20/2019,140,7,Very Low,140,144,4,3,1,4,2,133,7,9,16T,405662,4424814,3,0,0,78,NA,NA,1,
126,BYRD,2019,126-BYRD-2019,5/20/2019,140,4,Very Low,144,147,3,2,1,7,5.5,136,4,9.5,16T,405673,4424812,4,0,0,72,NA,NA,1,
1,MAD,2018,1-MAD-2018,5/10/2019,130,7,Moderate,149,149,0,0,0,19,19,123,7,26,16T,381669,4439129,4,4,3,NA,NA,NA,1,
2,MAD,2018,2-MAD-2018,5/10/2019,130,10,Low,146,146,0,0,0,16,16,120,10,26,16T,381670,4439124,4,4,4,NA,NA,NA,1,
6,MAD,2018,6-MAD-2018,5/10/2019,130,5,Moderate,151,151,0,0,0,21,21,125,5,26,16T,381677,4439145,5,5,4,NA,NA,NA,1,
9,MAD,2018,9-MAD-2018,5/14/2019,134,13,Low,146,146,0,0,0,12,12,121,13,25,16T,381695,4439079,4,4,4,NA,NA,NA,1,
10,MAD,2018,10-MAD-2018,5/14/2019,134,12,Low,146,146,0,0,0,12,12,122,12,24,16T,381694,4439081,4,2,2,NA,NA,NA,1,
11,MAD,2018,11-MAD-2018,5/14/2019,134,11,Low,147,147,0,0,0,13,13,123,11,24,16T,381693,4439095,4,4,3,NA,NA,NA,1,
12,MAD,2018,12-MAD-2018,5/14/2019,134,5,Moderate,154,154,0,0,0,20,20,129,5,25,16T,381694,4439145,4,3,3,NA,NA,NA,1,
13,MAD,2018,13-MAD-2018,5/11/2019,131,3,High,154,154,0,0,0,23,23,128,3,26,16T,381729,4439107,5,5,4,NA,NA,NA,1,
14,MAD,2018,14-MAD-2018,5/11/2019,131,11,Low,145,145,0,0,0,14,14,120,11,25,16T,381713,4439137,3,3,3,NA,NA,NA,1,
15,MAD,2018,15-MAD-2018,5/11/2019,131,7,Moderate,149,149,0,0,0,18,18,124,7,25,16T,381722,4439134,4,2,1,NA,NA,NA,1,
16,MAD,2018,16-MAD-2018,5/11/2019,131,7,Moderate,149,149,0,0,0,18,18,124,7,25,16T,381714,4439114,5,5,3,NA,NA,NA,1,
19,MAD,2018,19-MAD-2018,5/11/2019,131,0,High,161,161,0,0,0,30,30,131,0,30,16T,381718,4439086,5,2,2,NA,NA,NA,1,
20,MAD,2018,20-MAD-2018,5/11/2019,131,0,High,155,155,0,0,0,24,24,131,0,24,16T,381706,4439130,3,3,2,NA,NA,NA,1,
21,MAD,2018,21-MAD-2018,5/11/2019,131,3,Moderate,161,161,0,0,0,30,30,128,3,33,16T,381701,4439144,5,4,3,NA,NA,NA,1,
23,MAD,2018,23-MAD-2018,5/14/2019,134,12,Low,146,146,0,0,0,12,12,122,12,24,16T,381675,4439140,4,4,4,NA,NA,NA,1,
33,MAD,2018,33-MAD-2018,5/20/2019,140,14,Low,151,151,0,0,0,11,11,126,14,25,16T,381686,4439067,1,1,1,NA,NA,NA,1,
35,MAD,2018,35-MAD-2018,5/20/2019,140,15,Low,149,149,0,0,0,9,9,125,15,24,16T,381711,4439153,3,3,3,NA,NA,NA,1,
39,MAD,2018,39-MAD-2018,5/20/2019,140,8,Moderate,156,156,0,0,0,16,16,132,8,24,16T,381708,4439094,3,3,2,NA,NA,NA,1,
44,MAD,2018,44-MAD-2018,5/23/2019,143,19,Low,149,149,0,0,0,6,6,124,19,25,16T,381725,4439118,4,4,4,NA,NA,NA,1,
45,MAD,2018,45-MAD-2018,5/23/2019,143,15,Low,152,152,0,0,0,9,9,128,15,24,16T,381702,4439085,4,3,3,NA,NA,NA,1,
3,MAD,2018,3-MAD-2018,5/10/2019,130,1,HIgh,152,154,2,1,1,24,23,129,1,24,16T,381680,4439061,4,4,0,NA,NA,NA,1,
4,MAD,2018,4-MAD-2018,5/10/2019,130,0,High,152,154,2,1,1,24,23,130,0,23,16T,381680,4439064,3,3,0,NA,NA,NA,1,
5,MAD,2018,5-MAD-2018,5/10/2019,130,1,High,146,149,3,2,1,19,17.5,129,1,18.5,16T,381675,4439137,4,4,0,NA,NA,NA,1,
